Cultivar,Year,bb.date,bb.doy,Location,BBCH scale,Observer
Riesling,1958,5/4/58,124,Colmar,7,J.Balthazard
Riesling,1959,4/11/59,101,Colmar,7,J.Balthazard
Riesling,1960,4/15/60,106,Colmar,7,J.Balthazard
Riesling,1961,4/8/61,98,Colmar,7,J.Balthazard
Riesling,1962,4/27/62,117,Colmar,7,J.Balthazard
Riesling,1963,4/30/63,120,Colmar,7,J.Balthazard
Riesling,1964,4/23/64,114,Colmar,7,J.Balthazard
Riesling,1965,5/1/65,121,Colmar,7,J.Balthazard
Riesling,1966,4/28/66,118,Colmar,7,J.Balthazard
Riesling,1967,4/24/67,114,Colmar,7,J.Balthazard
Riesling,1968,4/20/68,111,Colmar,7,J.Balthazard
Riesling,1969,5/8/69,128,Colmar,7,J.Balthazard
Riesling,1970,5/13/70,133,Colmar,7,J.Balthazard
Riesling,1971,4/25/71,115,Colmar,7,J.Balthazard
Riesling,1972,4/11/72,102,Colmar,,No_record
Riesling,1973,5/3/73,123,Colmar,,No_record
Riesling,1974,4/20/74,110,Colmar,,No_record
Riesling,1975,4/27/75,117,Colmar,7,No_record
Riesling,1976,4/28/76,119,Colmar,7,J.Balthazard
Riesling,1977,4/22/77,112,Colmar,7,J.Balthazard
Riesling,1978,5/4/78,124,Colmar,7,J.Balthazard
Riesling,1979,5/12/79,132,Colmar,7,J.Balthazard
Riesling,1980,5/6/80,127,Colmar,7,J.Balthazard
Riesling,1981,4/17/81,107,Colmar,7,J.Balthazard
Riesling,1982,5/9/82,129,Colmar,7,J.Balthazard
Riesling,1983,4/30/83,120,Colmar,7,J.Balthazard
Riesling,1984,4/28/84,119,Colmar,7,J.Balthazard
Riesling,1985,5/3/85,123,Colmar,7,J.Balthazard
Riesling,1986,5/10/86,130,Colmar,7,J.Balthazard
Riesling,1987,4/29/87,119,Colmar,7,J.Balthazard
Riesling,1988,4/29/88,120,Colmar,7,C.Schneider
Riesling,1989,4/25/89,115,Colmar,7,C.Schneider
Riesling,1990,4/27/90,117,Colmar,7,C.Schneider
Riesling,1991,4/14/91,104,Colmar,7,C.Schneider
Riesling,1992,4/24/92,115,Colmar,7,C.Schneider
Riesling,1993,4/20/93,110,Colmar,7,C.Schneider
Riesling,1994,4/15/94,105,Colmar,7,C.Schneider
Riesling,1995,4/16/95,106,Colmar,7,C.Schneider
Riesling,1996,4/24/96,115,Colmar,7,C.Schneider
Riesling,1997,4/9/97,99,Colmar,7,C.Schneider
Riesling,1998,4/22/98,112,Colmar,7,C.Schneider
Riesling,1999,4/13/99,103,Colmar,7,C.Schneider
Riesling,2000,4/18/00,109,Colmar,7,C.Schneider
Riesling,2001,4/18/01,108,Colmar,7,C.Schneider
Riesling,2002,4/16/02,106,Colmar,7,C.Schneider
Riesling,2003,4/15/03,105,Colmar,7,C.Schneider
Riesling,2004,4/22/04,113,Colmar,7,C.Schneider
Riesling,2005,4/23/05,113,Colmar,7,C.Schneider
Riesling,2006,4/25/06,115,Colmar,7,C.Schneider
Riesling,2007,4/12/07,102,Colmar,7,C.Schneider
Riesling,2008,4/28/08,119,Colmar,7,C.Schneider
Riesling,2009,4/13/09,103,Colmar,,No_record
Riesling,2010,4/23/10,113,Colmar,,No_record
Riesling,2011,4/6/11,96,Colmar,,No_record
Riesling,2012,4/17/12,108,Colmar,,No_record
Riesling,2013,4/25/13,115,Colmar,,No_record
Riesling,2014,4/2/14,92,Colmar,,No_record
Riesling,2015,4/15/15,105,Colmar,,No_record
Riesling,2016,4/13/16,104,Colmar,,No_record
Riesling,2017,4/13/17,103,Colmar,,No_record
Riesling,2018,4/18/18,108,Colmar,,No_record
Riesling,2019,4/21/19,111,Colmar,,No_record
Riesling,2020,4/9/20,100,Colmar,,No_record
Riesling,2021,4/25/21,115,Colmar,,No_record
Riesling,2022,4/19/22,109,Colmar,,No_record
Riesling,1968,4/21/68,112,Lower_Franconia,,No_record
Riesling,1969,5/12/69,132,Lower_Franconia,,No_record
Riesling,1970,5/3/70,123,Lower_Franconia,,No_record
Riesling,1971,4/24/71,114,Lower_Franconia,,No_record
Riesling,1972,5/7/72,128,Lower_Franconia,,No_record
Riesling,1973,5/6/73,126,Lower_Franconia,,No_record
Riesling,1975,5/5/75,125,Lower_Franconia,,No_record
Riesling,1976,5/7/76,128,Lower_Franconia,,No_record
Riesling,1977,5/6/77,126,Lower_Franconia,,No_record
Riesling,1978,5/7/78,127,Lower_Franconia,,No_record
Riesling,1979,5/15/79,135,Lower_Franconia,,No_record
Riesling,1981,4/15/81,105,Lower_Franconia,,No_record
Riesling,1982,5/13/82,133,Lower_Franconia,,No_record
Riesling,1983,5/3/83,123,Lower_Franconia,,No_record
Riesling,1984,5/19/84,140,Lower_Franconia,,No_record
Riesling,1986,5/11/86,131,Lower_Franconia,,No_record
Riesling,1987,5/2/87,122,Lower_Franconia,,No_record
Riesling,1988,5/1/88,122,Lower_Franconia,,No_record
Riesling,1989,4/28/89,118,Lower_Franconia,,No_record
Riesling,1990,4/14/90,104,Lower_Franconia,,No_record
Riesling,1991,5/23/91,143,Lower_Franconia,,No_record
Riesling,1992,5/8/92,129,Lower_Franconia,,No_record
Riesling,1993,5/3/93,123,Lower_Franconia,,No_record
Riesling,1994,4/29/94,119,Lower_Franconia,,No_record
Riesling,2000,4/26/00,117,Lower_Franconia,,No_record
Riesling,2001,5/1/01,121,Lower_Franconia,,No_record
Riesling,2002,4/28/02,118,Lower_Franconia,,No_record
Riesling,2003,4/27/03,117,Lower_Franconia,,No_record
Riesling,2005,4/25/05,115,Lower_Franconia,,No_record
Riesling,2007,4/16/07,106,Lower_Franconia,,No_record
Riesling,2008,5/1/08,122,Lower_Franconia,,No_record
Riesling,2010,5/1/10,121,Lower_Franconia,,No_record
Concord,1979,5/10/79,130,Portland_NY,,No_record
Concord,1980,5/13/80,134,Portland_NY,,No_record
Concord,1981,5/6/81,126,Portland_NY,,No_record
Concord,1982,5/7/82,127,Portland_NY,,No_record
Concord,1983,5/13/83,133,Portland_NY,,No_record
Concord,1984,5/14/84,135,Portland_NY,,No_record
Concord,1985,4/25/85,115,Portland_NY,,No_record
Concord,1986,4/28/86,118,Portland_NY,,No_record
Concord,1987,4/24/87,114,Portland_NY,,No_record
Concord,1988,5/9/88,130,Portland_NY,,No_record
Concord,1989,5/18/89,138,Portland_NY,,No_record
Concord,1990,4/27/90,117,Portland_NY,,No_record
Concord,1991,4/29/91,119,Portland_NY,,No_record
Concord,1992,5/8/92,129,Portland_NY,,No_record
Concord,1993,5/5/93,125,Portland_NY,,No_record
Concord,1994,5/2/94,122,Portland_NY,,No_record
Concord,1995,5/13/95,133,Portland_NY,,No_record
Concord,1996,5/15/96,136,Portland_NY,,No_record
Concord,1997,5/20/97,140,Portland_NY,,No_record
Concord,1998,4/27/98,117,Portland_NY,,No_record
Concord,1999,5/4/99,124,Portland_NY,,No_record
Concord,2000,5/3/00,124,Portland_NY,,No_record
Concord,2001,5/1/01,121,Portland_NY,,No_record
Concord,2002,4/19/02,109,Portland_NY,,No_record
Concord,2003,5/5/03,125,Portland_NY,,No_record
Concord,2004,5/2/04,123,Portland_NY,,No_record
Concord,2005,5/10/05,130,Portland_NY,,No_record
Concord,2006,4/30/06,120,Portland_NY,,No_record
Concord,2007,5/8/07,128,Portland_NY,,No_record
Concord,2008,4/24/08,115,Portland_NY,,No_record
Concord,2009,5/3/09,123,Portland_NY,,No_record
Concord,2010,4/27/10,117,Portland_NY,,No_record
Concord,2011,5/10/11,130,Portland_NY,,No_record
Concord,2012,4/25/12,116,Portland_NY,,No_record
Concord,2013,5/3/13,123,Portland_NY,,No_record
Concord,2014,5/12/14,132,Portland_NY,,No_record
Concord,2015,5/8/15,128,Portland_NY,,No_record
Concord,2016,5/7/16,128,Portland_NY,,No_record
Concord,2017,4/27/17,117,Portland_NY,,No_record
Concord,2018,5/9/18,129,Portland_NY,,No_record
Concord,2019,5/8/19,128,Portland_NY,,No_record
Concord,2020,5/15/20,136,Portland_NY,,No_record
Concord,2021,4/20/21,110,Portland_NY,,No_record
Concord,2022,5/8/22,128,Portland_NY,,No_record
Concord,2023,4/20/30,110,Portland_NY,,No_record
Riesling,1956,3/29/56,89,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1956,4/3/56,94,Vassal,7,T.Lacombe
Riesling,1957,3/13/57,72,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1957,3/21/57,80,Vassal,7,T.Lacombe
Riesling,1958,3/31/58,90,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1958,4/5/58,95,Vassal,7,T.Lacombe
Riesling,1959,3/21/59,80,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1959,3/30/59,89,Vassal,7,T.Lacombe
Riesling,1960,3/18/60,78,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1960,3/24/60,84,Vassal,7,T.Lacombe
Riesling,1961,3/12/61,71,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1961,3/23/61,82,Vassal,7,T.Lacombe
Riesling,1962,4/5/62,95,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1962,4/12/62,102,Vassal,7,T.Lacombe
Riesling,1963,4/3/63,93,Vassal,7,T.Lacombe
Riesling,1964,4/4/64,95,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1964,4/3/64,94,Vassal,7,T.Lacombe
Riesling,1965,4/3/65,93,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1965,4/5/65,95,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1966,3/29/66,88,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1967,3/24/67,83,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1972,3/24/72,84,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1973,4/12/73,102,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1974,3/31/74,90,Vassal,7,T.Lacombe
Riesling,1974,3/22/74,81,Vassal,7,T.Lacombe
Riesling,1975,3/13/75,72,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1975,4/5/75,95,Vassal,7,T.Lacombe
Riesling,1976,3/22/76,82,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1976,4/6/76,97,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1988,4/7/88,98,Vassal,7,T.Lacombe
Riesling,1989,3/20/89,79,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1989,4/1/89,91,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1990,3/21/90,80,Vassal,7,T.Lacombe
Cabernet_Sauvignon,2002,3/21/02,80,Vassal,5,T.Dessup
Cabernet_Sauvignon,1991,3/31/91,90,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1992,3/30/92,90,Vassal,7,T.Lacombe
Cabernet_Sauvignon,2004,3/27/04,87,Vassal,5,S.Lalet
Cabernet_Sauvignon,1993,4/4/93,94,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1994,3/23/94,82,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1995,3/31/95,90,Vassal,7,T.Lacombe
Riesling,1996,3/25/96,85,Vassal,7,T.Lacombe
Cabernet_Sauvignon,1996,3/28/96,88,Vassal,7,T.Lacombe
Cabernet_Sauvignon,2003,3/31/03,90,Vassal,5,T.Dessup
Cabernet_Sauvignon,1997,3/16/97,75,Vassal,7,T.Lacombe
Cabernet_Sauvignon,2005,4/12/05,102,Vassal,5,S.Lalet
Cabernet_Sauvignon,2006,4/3/06,93,Vassal,5,S.Lalet
Cabernet_Sauvignon,1999,3/26/99,85,Vassal,7,T.Lacombe
Cabernet_Sauvignon,2007,3/26/07,85,Vassal,5,S.Lalet
Cabernet_Sauvignon,2000,4/3/00,94,Vassal,7,T.Lacombe
Cabernet_Sauvignon,2001,3/19/01,78,Vassal,7,T.Lacombe
Riesling,1982,4/23/82,113,MB,7,G.Barbeau
Cabernet_Sauvignon,1982,4/28/82,118,MB,7,G.Barbeau
Riesling,1983,4/24/83,114,MB,7,G.Barbeau
Cabernet_Sauvignon,1984,5/2/84,123,MB,7,G.Barbeau
Riesling,1984,4/26/84,117,MB,7,G.Barbeau
Riesling,1985,4/23/85,113,MB,7,G.Barbeau
Cabernet_Sauvignon,1985,4/26/85,116,MB,7,G.Barbeau
Riesling,1986,5/7/86,127,MB,7,G.Barbeau
Cabernet_Sauvignon,1986,5/9/86,129,MB,7,G.Barbeau
Cabernet_Sauvignon,1987,4/24/87,114,MB,7,G.Barbeau
Cabernet_Sauvignon,1988,4/12/88,103,MB,7,G.Barbeau
Cabernet_Sauvignon,1989,4/12/89,102,MB,7,G.Barbeau
Riesling,1990,4/9/90,99,MB,7,G.Barbeau
Cabernet_Sauvignon,1990,4/16/90,106,MB,7,G.Barbeau
Cabernet_Sauvignon,1958,5/6/58,126,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1959,4/17/59,107,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1960,4/22/60,113,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1961,4/14/61,104,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1962,5/6/62,126,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1963,5/3/63,123,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1964,5/2/64,123,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1965,5/5/65,125,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1966,4/29/66,119,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1967,5/1/67,121,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1968,4/22/68,113,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1969,5/11/69,131,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1970,5/15/70,135,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1971,5/5/71,125,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1976,4/30/76,121,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1977,4/25/77,115,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1978,5/6/78,126,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1979,5/11/79,131,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1980,5/10/80,131,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1981,4/24/81,114,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1982,5/11/82,131,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1983,5/8/83,128,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1984,5/9/84,130,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1985,5/12/85,132,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1986,5/6/86,126,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1987,5/5/87,125,Colmar,7,J.Balthazard
Cabernet_Sauvignon,1988,5/2/88,123,Colmar,7,C.Schneider
Cabernet_Sauvignon,1989,5/2/89,122,Colmar,7,C.Schneider
Cabernet_Sauvignon,1990,4/30/90,120,Colmar,7,C.Schneider
Riesling,1970,3/31/70,90,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1970,4/8/70,98,Bordeaux,5,M.Pily
Riesling,1977,3/7/77,66,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1977,3/9/77,68,Bordeaux,5,M.Pily
Riesling,1972,3/20/72,80,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1972,3/27/72,87,Bordeaux,5,M.Pily
Riesling,1971,4/6/71,96,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1971,4/13/71,103,Bordeaux,5,M.Pily
Riesling,1973,3/30/73,89,Bordeaux,5,M.Pily
Riesling,1974,3/28/74,87,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1974,3/29/74,88,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1973,4/9/73,99,Bordeaux,5,M.Pily
Riesling,1975,3/4/75,63,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1975,3/10/75,69,Bordeaux,5,M.Pily
Riesling,1976,3/19/76,79,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1976,3/23/76,83,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1978,3/29/78,88,Bordeaux,5,M.Pily
Riesling,1978,3/13/78,72,Bordeaux,5,M.Pily
Riesling,1979,3/23/79,82,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1979,4/9/79,99,Bordeaux,5,M.Pily
Cabernet_Sauvignon,1984,4/15/84,106,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1980,4/2/80,93,Bordeaux,5,M.Pily
Riesling,1980,3/27/80,87,Bordeaux,5,M.Pily
Riesling,1981,3/25/81,84,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1981,3/31/81,90,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1982,3/30/82,89,Bordeaux,5,Bordenave
Riesling,1982,3/17/82,76,Bordeaux,5,Bordenave
Riesling,1984,4/9/84,100,Bordeaux,5,Bordenave
Riesling,1985,3/30/85,89,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1985,4/2/85,92,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1986,4/18/86,108,Bordeaux,5,Bordenave
Riesling,1986,3/25/86,84,Bordeaux,5,Bordenave
Riesling,1987,3/27/87,86,Bordeaux,5,Bordenave
Riesling,1988,3/15/88,75,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1988,3/25/88,85,Bordeaux,5,Bordenave
Riesling,1989,3/10/89,69,Bordeaux,5,Bordenave
Riesling,1990,2/23/90,54,Bordeaux,5,Bordenave
Riesling,1992,3/10/92,70,Bordeaux,5,Bordenave
Riesling,1993,3/13/93,72,Bordeaux,5,Bordenave
Riesling,1994,3/3/94,62,Bordeaux,5,Bordenave
Riesling,1995,3/5/95,64,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1995,3/21/95,80,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1996,3/17/96,77,Bordeaux,5,Bordenave
Riesling,1996,3/21/96,81,Bordeaux,5,Bordenave
Riesling,1999,3/10/99,69,Bordeaux,5,Bordenave
Riesling,2001,2/28/01,59,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2001,3/20/01,79,Bordeaux,5,Bordenave
Riesling,2002,3/1/02,60,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2002,3/15/02,74,Bordeaux,5,Bordenave
Riesling,2003,3/5/03,64,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2003,3/14/03,73,Bordeaux,5,Bordenave
Riesling,2004,3/17/04,77,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2004,3/20/04,80,Bordeaux,5,Bordenave
Riesling,1991,3/7/91,66,Bordeaux,5,Bordenave
Riesling,1997,3/3/97,62,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1997,3/5/97,64,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1999,3/15/99,74,Bordeaux,5,Bordenave
Riesling,1998,3/6/98,65,Bordeaux,5,Bordenave
Cabernet_Sauvignon,1998,3/16/98,75,Bordeaux,5,Bordenave
Riesling,2000,2/28/00,59,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2000,3/20/00,80,Bordeaux,5,Bordenave
Riesling,2005,3/18/05,77,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2005,3/28/05,87,Bordeaux,5,Bordenave
Riesling,2006,3/20/06,79,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2006,3/27/06,86,Bordeaux,5,Bordenave
Riesling,2007,3/5/07,64,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2007,3/17/07,76,Bordeaux,5,Bordenave
Riesling,2008,2/26/08,57,Bordeaux,5,Bordenave
Cabernet_Sauvignon,2008,3/10/08,70,Bordeaux,5,Bordenave
Riesling,2018,5/12/18,132,Lewisberg_PA,,No_record
Riesling,2019,5/13/19,133,Lewisberg_PA,,No_record
Riesling,2016,5/14/16,135,Ontario,,No_record
Riesling,2017,5/10/17,130,Ontario,,No_record
Riesling,2018,5/15/18,135,Ontario,,No_record
Cabernet_Sauvignon,2012,4/5/12,96.1581,Bordeaux,7,No_record
Riesling,2012,3/27/12,87.09956,Bordeaux,7,No_record
Cabernet_Sauvignon,2013,4/14/13,104.03375,Bordeaux,7,No_record
Riesling,2013,4/7/13,97.22,Bordeaux,7,No_record
Cabernet_Sauvignon,2014,4/8/14,98.06765,Bordeaux,7,No_record
Riesling,2014,3/29/14,88.27024,Bordeaux,7,No_record
Cabernet_Sauvignon,2015,4/14/15,104.2275,Bordeaux,7,No_record
Riesling,2015,4/9/15,99.10125,Bordeaux,7,No_record
Cabernet_Sauvignon,2016,4/1/16,92.8375,Bordeaux,7,No_record
Riesling,2016,3/26/16,86.0125,Bordeaux,7,No_record
Cabernet_Sauvignon,2017,4/6/17,96.33125,Bordeaux,7,No_record
Riesling,2017,3/28/17,87.74714,Bordeaux,7,No_record
Cabernet_Sauvignon,2018,4/14/18,104.31506,Bordeaux,7,No_record
Riesling,2018,4/7/18,97.33373,Bordeaux,7,No_record
Cabernet_Sauvignon,2019,3/28/19,87.8875,Bordeaux,7,No_record
Riesling,2019,3/24/19,83.9,Bordeaux,7,No_record
Cabernet_Sauvignon,2021,4/3/21,93.47375,Bordeaux,7,No_record
Riesling,2021,3/30/21,89.74625,Bordeaux,7,No_record
Cabernet_Sauvignon,2022,4/14/22,104.67625,Bordeaux,7,No_record
Riesling,2022,4/5/22,95.92167,Bordeaux,7,No_record
Cabernet_Sauvignon,2023,4/7/23,97.56904,Bordeaux,7,No_record
Riesling,2023,3/30/23,89.1691,Bordeaux,7,No_record